model,t_ru,eps_ru,t_ry,eps_ry
0a,0.20769011907477974,0.20737700706194295,0.12035218687405758,0.009323860031875242
0b,0.10663128881420636,0.2615196167782339,0.04094294454163827,0.005673677975330027
1a,0.37231691868573946,-0.3539137137238537,0.196906354257821,0.009323860031875242
1b,0.397279859119288,0.17603910525923605,0.25837156691276286,0.007488882200678004
2a,0.37231691868573946,0.20737700706194295,0.2808323693378624,0.009323860031875242
2b,0.397279859119288,0.2615196167782339,0.31366606169534517,0.007488882200678004
