sample_id,replicate,root_area [mm^2],stele_area [mm^2],cortex_area [mm^2],test_succesful,test_comment
725,3,5.063525,1.63828125,3.5166625,TRUE,
726,1,2.4454875,0.78489375,1.72799375,TRUE,
726,2,2.64614375,0.65384375,2.05873125,TRUE,
726,3,2.591075,0.774925,1.87495,TRUE,
727,1,4.3519875,1.47428125,2.96835,TRUE,
727,2,4.42446875,1.52029375,2.98299375,TRUE,
727,3,4.48831875,1.50121875,3.072075,TRUE,
727,4,4.63860625,1.52994375,3.18556875,TRUE,
727,5,4.562375,1.65315,3.0044625,TRUE,
727,6,4.67050625,1.51698125,3.2475625,TRUE,
727,7,4.8250875,1.46850625,3.447525,TRUE,
727,8,4.81380625,1.50639375,3.3723625,TRUE,
728,1,3.7421625,0.85025,2.95775,TRUE,
728,2,3.500525,0.813725,2.60481875,TRUE,
728,3,3.48933125,0.81206875,2.7580625,TRUE,
729,1,5.88354375,2.07586875,3.9146375,TRUE,
729,2,5.9439875,2.01089375,4.036975,TRUE,
729,3,5.96863125,2.0287125,4.04830625,TRUE,
729,4,6.026975,2.04701875,4.055275,TRUE,
729,5,5.9620625,2.00401875,4.0332875,TRUE,
729,6,6.1634,2.02671875,4.23181875,TRUE,
729,7,5.9746875,2.04849375,4.0170125,TRUE,
729,8,6.0956375,1.96118125,4.24076875,TRUE,
730,1,4.75988125,1.56241875,3.26835625,TRUE,
730,2,4.46438125,1.4316875,3.12219375,TRUE,
730,3,4.45428125,1.4136,3.12606875,TRUE,
731,1,3.7263875,1.03029375,2.76935625,TRUE,
731,2,3.70763125,1.01654375,2.75954375,TRUE,
731,3,3.8472125,1.190575,2.73345,TRUE,
731,4,3.7916125,1.20589375,2.65923125,TRUE,
731,5,3.92535,1.0053,2.99648125,TRUE,
731,6,3.93696875,1.04420625,2.95046875,TRUE,
731,7,3.6992375,1.04946875,2.71755625,TRUE,
731,8,3.69303125,1.043475,2.715075,TRUE,
731,9,3.7240125,1.03409375,2.75036875,TRUE,
731,10,3.7297625,1.0333,2.7663875,TRUE,
731,11,3.813525,1.10489375,2.79009375,TRUE,
731,12,3.73628125,1.12230625,2.69101875,TRUE,
731,13,3.704425,1.1348125,2.6374125,TRUE,
