sample_id,diameter [mm],eps_ry [mm/mm],eps_ru [mm/mm],t_ry [MPa],t_ru [MPa],tortuosity [mm/mm],A_r [mm^2],A_s [mm^2],A_c [mm^2]
554,0.65,0.027119788951820274,0.14884686430818167,6.965223779927056,11.05197652332009,0.002257163920084243,0.32781466666666664,0.06489766666666667,0.2734086666666667
555,1.02,0.04352469974581002,0.1488264562771208,5.8487418276622,8.4532714737772,0.009238596190823616,0.9644786666666666,0.128627,0.8270933333333333
556,1.17,0.06268519468415729,0.1667945040860439,8.965591063781595,13.009839618412439,0.003295778220148793,0.620146,0.15230333333333332,0.4818473333333333
558,1.19,0.037837741924635127,0.20208234093876967,7.404725692381327,11.488551916509016,0.0011294226817857333,1.1902283333333334,0.195618,1.0127476666666668
559,1.37,0.03657341335637572,0.1507953363203829,5.583246452748971,8.832902832676348,3.168796988551442e-4,1.4217296666666666,0.2606543333333333,1.1901813333333333
560,1.21,0.0381916538165244,0.11756731589093956,5.781331948180226,8.049402548767121,0.004664313312442239,1.0300143333333334,0.20900133333333332,0.836198
565,2.03,0.0408436098438735,0.21218289486227052,7.607076729526637,11.042069351024447,0.0021260035500024975,4.272025333333334,1.082492,3.239277
569,1.95,0.05531720431203211,0.15102582458281108,5.990647050652494,9.010097301441379,0.012992041618709156,2.8035213333333333,0.6768603333333334,2.1640363333333332
570,1.81,0.06107878074970802,0.13269492139267644,5.671533676832943,7.420833844629951,0.017255377629214058,2.54459275,0.58196225,1.99509425
572,1.9,0.032809300823574854,0.1294881907286604,4.947060905697668,7.94039692876595,0.0016040975781878328,3.29379,0.7412793333333333,2.5836543333333335
574,3.8,0.018332617977772775,0.06633057433232477,2.7931873143394648,3.4204669772293816,-2.1623156821620567e-4,10.001558333333334,4.091525,6.0283
575,1.55,0.0392916121669693,0.17344795461191068,2.4079456326664497,6.0656559855781405,-0.001029406210273876,2.3362683333333334,0.378658,1.9848676666666667
578,2.45,0.07202368702247561,0.16350290805687423,6.076834186980505,8.063693964225257,0.04566992619886804,3.276166,0.8513226666666667,2.4529506666666667
580,1.43,0.01865104664594343,0.18288077593079355,4.652062497670695,7.361315459240744,-4.402607104538768e-4,1.672663,0.233856,1.46003
581,1.03,0.028516407223864722,0.1272045035579994,2.4624051296140426,3.570949474233448,0.002213880830074413,1.215083,0.19839233333333334,1.0343113333333334
586,1.66,0.020075140063167046,0.05683771292148437,2.9896802471211332,3.9446348158381026,0.0034653258809166972,1.8579666666666665,0.29691966666666664,1.482067
612,1,0.05985821962936633,0.13191979077352609,5.699094472256699,7.87845619750191,0.012757272506566764,0.9602135,0.1423005,0.83833
613,0.81,0.02270389236682907,0.15174887219289512,3.06048856400093,6.546114509083247,-6.154746143102088e-4,1.314673,0.213064,1.12741
615,1.19,0.03508798935319003,0.1484784065279352,4.885925780979964,9.635423767768174,0.00571329285319497,0.6845573333333334,0.13801933333333333,0.5599176666666666
